Link,Title,Platform,Level
/course/dentmedpenn-2902,Introduction to Dental Medicine,coursera,beginner
/course/public-speaking-889,Introduction to Public Speaking,coursera,beginner
/course/stanford-statistics-33479,Introduction to Statistics,coursera,beginner
/course/3d-printing-software-5993,3D Printing Software,coursera,beginner
/course/datasciencemathskills-7745,Data Science Math Skills,coursera,beginner
/course/duke-programming-web-4256,"Programming Foundations with JavaScript, HTML and CSS",coursera,beginner
/course/bigbang-722,From the Big Bang to Dark Energy,coursera,beginner
/course/business-6010,English for Business and Entrepreneurship,coursera,beginner
/course/challengesgh-2376,The Challenges of Global Health,coursera,beginner
/course/understanding-arguments-6620,Think Again I: How to Understand Arguments,coursera,beginner
/course/welcomegametheory-2883,Welcome to Game Theory,coursera,beginner
/course/developing-innovative-ideas-for-product-leaders-46401,Developing Innovative Ideas for Product Leaders,coursera,beginner
/course/constitution-2082,Introduction to Key Constitutional Concepts and Supreme Court Cases,coursera,beginner
/course/magicmiddleages-3477,Magic in the Middle Ages,coursera,beginner
/course/success-8087,The Science of Success: What Researchers Know that You Should Know,coursera,beginner
/course/manage-health-covid-19-19289,Mind Control: Managing Your Mental Health During COVID-19,coursera,beginner
/course/intro-game-design-4220,Introduction to Game Design,coursera,beginner
/course/film-images-542,"Film, Images & Historical Interpretation in the 20th Century: The Camera Never Lies",coursera,beginner
/course/security-safety-globalized-world-7770,Security & Safety Challenges in a Globalized World,coursera,beginner
/course/mindware-8128,Mindware: Critical Thinking for the Information Age ,coursera,beginner
/course/americanlaw-2872,An Introduction to American Law,coursera,beginner
/course/organizational-analysis-459,Organizational Analysis ,coursera,beginner
/course/chem991-2375,Introduction to Chemistry:  Reactions and Ratios,coursera,beginner
/course/cancer-metastasis-7624,Understanding Cancer Metastasis,coursera,beginner
/course/chemhealth-2053,Chemicals and Health,coursera,beginner
/course/modern-world-430,"The Modern World, Part One: Global History from 1760 to 1910",coursera,beginner
/course/sleep-3233,"Sleep: Neurobiology, Medicine, and Society",coursera,beginner
/course/typography-5444,Introduction to Typography,coursera,beginner
/course/compneuro-449,Computational Neuroscience,coursera,beginner
/course/neurobio-1606,Understanding the Brain: The Neurobiology of Everyday Life,coursera,beginner
/course/musictheory-1358,Fundamentals of Music Theory,coursera,beginner
/course/financial-management-for-product-leaders-46405,Financial Management for Product Leaders,coursera,beginner
/course/finance-healthcare-managers-10797,Financial Acumen for Non-Financial Managers,coursera,beginner
/course/intellectual-humility-science-7657,Intellectual Humility: Science,coursera,beginner
/course/disasterprep-481,Disaster Preparedness,coursera,beginner
/course/personalfinance-3965,Financial Planning for Young Adults,coursera,beginner
/course/data-public-health-8921,Data and Health Indicators in Public Health Practice,coursera,beginner
/course/understanding-visualization-data-12647,Understanding and Visualizing Data with Python,coursera,beginner
/course/michigan-sport-related-concussion-traini-15223,Michigan Sport-Related Concussion Training Certification ,coursera,beginner
/course/positive-psychology-visionary-science-8337,Positive Psychology: Martin E. P. Seligman’s Visionary Science,coursera,beginner
/course/java-programming-arrays-lists-data-4362,"Java Programming: Arrays, Lists, and Structured Data",coursera,beginner
/course/addictedbrain-1403,The Addicted Brain,coursera,beginner
/course/gender-based-violence-3471,Confronting Gender Based Violence: Global Lessons for Healthcare Workers,coursera,beginner
/course/strategies-senior-housing-covid19-23267,Strategies for Senior Housing Communities during COVID-19,coursera,beginner
/course/writing-editing-words-19555,Writing and Editing: Word Choice and Word Order,coursera,beginner
/course/cloud-computing-2717,"Cloud Computing Concepts, Part 1",coursera,beginner
/course/construction-cost-estimating-7106,Construction Cost Estimating and Cost Control,coursera,beginner
/course/positive-psychology-methods-8335,"Positive Psychology: Character, Grit and Research Methods",coursera,beginner
/course/high-performing-teams-7121,Building High-Performing Teams,coursera,beginner
/course/do-good-feel-good-58183,The Science of Generosity: Do Good...Feel Good,coursera,beginner
/course/classdiscussion-7421,Orchestrating Whole Classroom Discussion,coursera,beginner
/course/esg-risks-opportunities-58758,ESG Risks and Opportunities,coursera,beginner
/course/career-planning--19723,"Career planning: resume/CV, cover letter, interview",coursera,beginner
/course/practical-data-science-matlab-18864,Practical Data Science with MATLAB,coursera,beginner
/course/covid-19-what-you-need-to-know-19270,COVID-19: What You Need to Know,coursera,beginner
/course/multivariate-calculus-machine-learning-10452,Mathematics for Machine Learning: Multivariate Calculus,coursera,beginner
/course/assembly-3290,Genome Sequencing (Bioinformatics II),coursera,beginner
/course/drug-discovery-654,Drug Discovery ,coursera,beginner
/course/commhealthworkers-1038,Training and Learning Programs for Volunteer Community Health Workers,coursera,beginner
