Link,Title,Platform,Level
/course/edx-effective-communication-for-program-and-project-stakeholders-and-teams-19740,Effective Communication for Program and Project Stakeholders and Teams,edx,beginner
/course/edx-riesgo-biologico-y-bioseguridad-en-el-entorno-laboral-20325,Riesgo biológico y bioseguridad en el entorno laboral,edx,beginner
/course/edx-facebook-ads-como-utilizar-el-poder-de-la-publicidad-en-facebook-10387,Facebook Ads: Cómo utilizar el poder de la publicidad en Facebook,edx,beginner
/course/edx-the-science-of-everyday-thinking-1332,The Science of Everyday Thinking,edx,beginner
/course/edx-computing-in-python-iii-data-structures-11471,Computing in Python III: Data Structures,edx,beginner
/course/edx-shakespeare-matters-8731,Shakespeare Matters,edx,beginner
/course/edx-ap-microeconomics-8630,AP® Microeconomics,edx,beginner
/course/communicating-science-a-springboard-for-action-22650,Strategic Communication for Sustainability Leaders,edx,beginner
/course/edx-statistical-learning-1579,Statistical Learning,edx,beginner
/course/edx-mechanical-ventilation-for-covid-19-19347,Mechanical Ventilation for COVID-19,edx,beginner
/course/edx-introduccion-a-los-encofrados-y-las-cimbras-en-obra-civil-y-edificacion-11880,Introducción a los encofrados y las cimbras en obra civil y edificación,edx,beginner
/course/edx-introduccion-a-las-tecnologias-para-la-educacion-2956,Introducción a las tecnologías para la Educación,edx,beginner
/course/edx-circular-fashion-design-science-and-value-in-a-sustainable-clothing-industry-17080,"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",edx,beginner
/course/edx-identifying-entrepreneurial-opportunities-12828,Identifying Entrepreneurial Opportunities,edx,beginner
/course/edx-the-science-of-happiness-1781,The Science of Happiness,edx,beginner
/course/edx-fundamentals-of-neuroscience-part-1-the-electrical-properties-of-the-neuron-942,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",edx,beginner
/course/edx-financing-innovative-ventures-19115,Financing Innovative Ventures,edx,beginner
/course/edx-leaders-of-learning-2027,Leaders of Learning,edx,beginner
/course/edx-achieving-product-market-fit-19099,Achieving Product-Market Fit,edx,beginner
/course/edx-introduccion-al-office-365-18140,Introducción al Office 365,edx,beginner
/course/edx-ingles-basico-conversacional-y-networking-19170,Inglés básico: conversacional y networking,edx,beginner
/course/edx-introduction-to-transforming-with-data-analytics-and-the-digital-organization-21480,Introduction to Transforming with Data Analytics and the Digital Organization,edx,beginner
/course/edx-computer-science-101-2175,Computer Science 101,edx,beginner
/course/edx-introduction-to-linux-1857,Introduction to Linux,edx,beginner
/course/edx-happier-employees-and-return-on-investment-course-17121,Happier Employees and Return-On-Investment Course,edx,beginner
/course/edx-english-grammar-and-style-2022,English Grammar and Style,edx,beginner
/course/edx-how-to-learn-math-for-students-917,How to Learn Math: For Students,edx,beginner
/course/edx-science-cooking-from-haute-cuisine-to-soft-matter-science-chemistry-811,Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),edx,beginner
/course/edx-product-design-prototyping-and-testing-19100,"Product Design, Prototyping, and Testing",edx,beginner
/course/edx-the-architectural-imagination-7836,The Architectural Imagination,edx,beginner
/course/edx-how-to-write-an-essay-1333,How to Write an Essay,edx,beginner
/course/edx-bases-matematicas-algebra-2968,Bases Matemáticas: Álgebra,edx,beginner
/course/edx-cs50-s-computer-science-for-business-professionals-10143,CS50's Computer Science for Business Professionals,edx,beginner
