Link,Title,Platform,Level
/course/complete-reinforcement-learning-system-14498,A Complete Reinforcement Learning System (Capstone),coursera,intermediate
/course/intro-analyticthinking-datascience-datamining-22604,"Intro to Analytic Thinking, Data Science, and Data Mining",coursera,intermediate
/course/relativism-13660,Relativism,coursera,intermediate
/course/diagnosticimaging-80464,Visualizing the Living Body: Diagnostic Imaging,coursera,intermediate
/course/designexperiments-2789,"Designing, Running, and Analyzing Experiments",coursera,intermediate
/course/winning-resumes-5477,Writing Winning Resumes and Cover Letters,coursera,intermediate
/course/ecology-conservation-10618,Ecology: Ecosystem Dynamics and Conservation,coursera,intermediate
/course/convolutional-neural-networks-9057,Convolutional Neural Networks,coursera,intermediate
/course/neurohacking-6420,Introduction to Neurohacking In R,coursera,intermediate
/course/jhu-data-visualization-r-22202,Data Visualization in R with ggplot2,coursera,intermediate
/course/synbioethics-3248,"Engineering Life: Synbio, Bioethics & Public Policy",coursera,intermediate
/course/data-literacy-capstone-evaluating-research-22204,Data Literacy Capstone – Evaluating Research,coursera,intermediate
/course/sustainable-regional-principles-planning-and-tran-110345,"Sustainable Regional Principles, Planning and Transportation",coursera,intermediate
/course/household-surveys-for-program-evaluation-56222,Household Surveys for Program Evaluation in LMICs,coursera,intermediate
/course/calculus-through-data-and-modelling-applying-diff-27982,Calculus through Data & Modeling: Applying Differentiation,coursera,intermediate
/course/program-design-and-evaluation-for-health-systems--58801,Program Design & Evaluation for Health Systems Strengthening,coursera,intermediate
/course/sustainable-neighborhoods-110346,Sustainable Neighborhoods,coursera,intermediate
/course/sustainable-transportation-networks-and-streetsca-110354,Sustainable Transportation Networks and Streetscapes,coursera,intermediate
/course/quantifying-relationships-regression-models-22208,Quantifying Relationships with Regression Models,coursera,intermediate
/course/intro-reproducibility-cancer-informatics-60069,Introduction to Reproducibility in Cancer Informatics,coursera,intermediate
/course/documentation-usability-cancer-informatics-114654,Documentation and Usability for Cancer Informatics,coursera,intermediate
/course/telehealth-60068,Foundations of Telehealth,coursera,intermediate
/course/chances-probability-uncertainty-statistics-22209,What are the Chances? Probability and Uncertainty in Statistics,coursera,intermediate
/course/transportation-sustainable-buildings-green-constr-110355,"Transportation, Sustainable Buildings, Green Construction",coursera,intermediate
/course/strategic-career-self-management-5457,Strategic Career Self-Management,coursera,intermediate
/course/improvisation-521,Jazz Improvisation,coursera,intermediate
/course/dbessentials-4337,Database Management Essentials,coursera,intermediate
/course/listening-notetaking-6817,Academic Listening and Note-Taking,coursera,intermediate
/course/english-writing-grammar-adjective-clauses-55978,Enhance your Writing with Adjective Clauses,coursera,intermediate
/course/business-intelligence-visual-analytics-56506,Business Intelligence and Visual Analytics,coursera,intermediate
/course/english-writing-grammar-noun-clauses-55979,Enhance your Writing with Noun Clauses,coursera,intermediate
/course/teaching-common-grammar-mistakes-7364,Teaching Tips for Tricky English Grammar,coursera,intermediate
/course/predictive-modeling-model-fitting-regression-anal-22600,"Predictive Modeling, Model Fitting, and Regression Analysis",coursera,intermediate
/course/inventory-management-110432,Inventory Management,coursera,intermediate
/course/teaching-adjective-clauses-7366,Techniques for Teaching Adjectives and Adjective Clauses,coursera,intermediate
