Link,Title,Platform,Level
/course/protecting-health-data-10612,Protecting Health Data in the Modern Age: Getting to Grips with the GDPR,futurelearn,beginner
/course/change-of-era-the-origins-of-christian-culture-th-117528,Change of Era: The Origins of Christian Culture through the Lens of Archaeology,futurelearn,beginner
/course/fashion-values-cultures-116857,Fashion Values: Cultures,futurelearn,beginner
/course/edward-jenner-programme-course-0-an-introduction--66019,Edward Jenner: 0 - An Introduction to Personal Development,futurelearn,beginner
/course/nutrition-sensitive-agriculture-48252,A Nutritional Approach to Agriculture and Food Security,futurelearn,beginner
/course/global-food-safety-and-nutrition-47279,Food Safety and Nutrition: A Global Approach to Public Health,futurelearn,beginner
/course/medtech-ai-and-medical-robots-14408,MedTech: AI and Medical Robots,futurelearn,beginner
/course/circular-business-models-for-sustainable-urban-fo-21293,Circular Business Models for Sustainable Urban Food Systems,futurelearn,beginner
/course/communication-and-interpersonal-skills-at-work-17495,Communication and Interpersonal Skills at Work,futurelearn,beginner
/course/ageing-3416,Why Do We Age? The Molecular Mechanisms of Ageing,futurelearn,beginner
/course/starting-a-business-3-5010,Starting a Business 3: Customers and Competitors,futurelearn,beginner
/course/starting-a-business-4-5011,Starting a Business 4: Business Processes,futurelearn,beginner
/course/effective-nursing-in-times-of-crisis-19511,COVID-19: Effective Nursing in Times of Crisis,futurelearn,beginner
/course/business-ethics-18181,Business Ethics: Exploring Big Data and Tax Avoidance,futurelearn,beginner
/course/everyday-chemistry-7435,Exploring Everyday Chemistry,futurelearn,beginner
/course/begin-robotics-3410,Begin Robotics,futurelearn,beginner
/course/history-science-psychology-11037,Introduction to Psychology: The History and Science of Psychology,futurelearn,beginner
/course/medtech-exploring-the-human-genome-14406,MedTech: Exploring the Human Genome,futurelearn,beginner
/course/scientific-revolution-8964,The Scientific Revolution: Understanding the Roots of Modern Science,futurelearn,beginner
/course/supporting-learning-secondary-13230,Supporting Successful Learning in Secondary School,futurelearn,beginner
/course/ancient-health-7491,Health and Wellbeing in the Ancient World,futurelearn,beginner
/course/medtech-digital-health-14405,MedTech: Digital Health and Wearable Technology,futurelearn,beginner
/course/the-science-of-medicines-1851,The Science of Medicines,futurelearn,beginner
/course/the-secret-power-of-brands-1261,The Secret Power of Brands,futurelearn,beginner
/course/medtech-orthopaedic-implants-14407,MedTech: Orthopaedic Implants and Regenerative Medicine,futurelearn,beginner
/course/awake-brain-surgery-9633,Language Testing During Awake Brain Surgery,futurelearn,beginner
/course/basic-english-elementary-11195,Basic English 1: Elementary,futurelearn,beginner
/course/monday-campaigns-12666,The Monday Campaigns: Lessons in Public Health Promotion,futurelearn,beginner
/course/the-mind-is-flat-1260,The Mind is Flat: The Shocking Shallowness of Human Psychology,futurelearn,beginner
/course/online-learning-3882,How to Learn Online: Getting Started,futurelearn,beginner
/course/scaling-agile-sc-102600,Scaled Agile,futurelearn,beginner
/course/agile-for-beginners-sc-102598,Agile for Beginners,futurelearn,beginner
/course/ecg-assessment-3945,ECG Assessment: an Introduction for Healthcare Providers,futurelearn,beginner
/course/population-10-billion-12649,Population 10 Billion: Researching Global Issues,futurelearn,beginner
/course/teach-online-19188,How To Teach Online: Moving online post-pandemic,futurelearn,beginner
/course/screenwriting-4550,An Introduction to Screenwriting,futurelearn,beginner
/course/medtech-trends-and-product-design-14404,MedTech: Trends and Product Design,futurelearn,beginner
/course/students-higher-education-5079,Becoming a Student Assistant: Teaching and Mentoring,futurelearn,beginner
/course/genealogy-5195,Genealogy: Researching Your Family Tree,futurelearn,beginner
/course/the-human-microbiome-20770,The Human Microbiome,futurelearn,beginner
/course/computer-programming-for-everyone-17488,Computer Programming for Everyone,futurelearn,beginner
/course/essentials-in-arts-fundraising-59222,Essentials in Arts Fundraising,futurelearn,beginner
/course/discovering-science-global-challenges-7740,Discovering Science: Global Challenges,futurelearn,beginner
/course/introduction-to-business-management-19005,Introduction to Business Management,futurelearn,beginner
/course/inside-cancer-1254,Inside Cancer: How Genes Influence Cancer Development,futurelearn,beginner
/course/corpus-linguistics-1247,"Corpus Linguistics: Method, Analysis, Interpretation",futurelearn,beginner
/course/teaching-phonics-11770,Teaching Phonics in Early Childhood,futurelearn,beginner
/course/infant-nutrition-7646,Infant Nutrition: from Breastfeeding to Baby's First Solids,futurelearn,beginner
/course/fundamentals-of-project-planning-and-management-8581,Fundamentals of Project Planning and Management,futurelearn,beginner
/course/blended-learning-getting-started-4045,Blended Learning Essentials: Getting Started,futurelearn,beginner
/course/biochemistry-6074,Biochemistry: the Molecules of Life,futurelearn,beginner
/course/thinking-about-teaching-19489,Becoming a Teacher,futurelearn,beginner
/course/global-ethics-14503,Global Ethics: An Introduction,futurelearn,beginner
/course/skills-to-succeed-at-university-56145,Skills to Succeed at University,futurelearn,beginner
/course/psychological-first-aid-covid-19-20212,COVID-19: Psychological First Aid,futurelearn,beginner
/course/liver-disease-2251,Liver Disease: Looking after Your Liver,futurelearn,beginner
/course/liver-transplant-4846,Liver Transplant: the Ins and Outs,futurelearn,beginner
/course/how-to-create-an-online-course-41077,How to Create an Online Course,futurelearn,beginner
/course/climate-solutions-india-57925,Climate Solutions: India,futurelearn,beginner
/course/climate-solutions-egypt-110424,Climate Solutions: Egypt,futurelearn,beginner
/course/dysphagia-1975,Dysphagia: Swallowing Difficulties and Medicines,futurelearn,beginner
/course/building-information-modelling-10604,An Introduction to Building Information Modelling,futurelearn,beginner
/course/fintech-innovations-48262,Innovations in Fintech,futurelearn,beginner
/course/leading-people-and-teams-48312,Leading People and Teams,futurelearn,beginner
/course/digital-product-management-18992,Digital Product Management,futurelearn,beginner
/course/agile-meets-design-thinking-9330,Getting Started with Agile and Design Thinking,futurelearn,beginner
/course/japanese-rare-books-culture-6264,Japanese Culture Through Rare Books,futurelearn,beginner
/course/humanitarian-logistics-17366,Introduction to Humanitarian Logistics,futurelearn,beginner
/course/food-production-agricultural-technology-plant-bio-14399,Improving Food Production with Agricultural Technology and Plant Biotechnology,futurelearn,beginner
/course/fairy-tales-13807,"Fairy Tales: Meanings, Messages, and Morals",futurelearn,beginner
/course/soils-3417,Soil Science: Exploring the World Beneath our Feet,futurelearn,beginner
/course/causes-of-climate-change-3713,Causes of Climate Change,futurelearn,beginner
/course/sustainable-agriculture-in-a-changing-environment-12288,Farm to Fork: Sustainable Food Production in a Changing Environment,futurelearn,beginner
/course/introduction-to-korean-8360,Introduction to Korean,futurelearn,beginner
/course/creating-apps-classroom-11541,Creating Apps in the Classroom,futurelearn,beginner
/course/multilingual-5660,Multilingual Learning for a Globalised World,futurelearn,beginner
/course/introduction-to-microbiology-11850,Small and Mighty: Introduction to Microbiology,futurelearn,beginner
/course/teaching-climate-and-sustainability-in-primary-sc-65380,Teaching Climate and Sustainability in Primary Schools: An Outdoor Learning Approach,futurelearn,beginner
/course/listening-skills-to-succeed-at-university-102594,Listening Skills to Succeed at University,futurelearn,beginner
/course/introduction-to-comparative-indo-european-linguis-97287,Introduction to Comparative Indo-European Linguistics,futurelearn,beginner
/course/food-fraud-4048,Identifying Food Fraud,futurelearn,beginner
/course/cbt-older-people-9863,CBT with Older People,futurelearn,beginner
/course/entrepreneurship-ed-tech-61349,Social Entrepreneurship in Educational Technology,futurelearn,beginner
/course/social-entrepreneurship-in-educational-technology-60095,Social Entrepreneurship in Educational Technology: Developing a Business Plan,futurelearn,beginner
/course/social-entrepreneurship-in-educational-technology-60094,Social Entrepreneurship in Educational Technology: Concept Development and Prototyping,futurelearn,beginner
/course/social-entrepreneurship-in-educational-technology-60093,Social Entrepreneurship in Educational Technology: Ideation and Market Research,futurelearn,beginner
/course/emergency-planning-preparedness-10607,Emergency Planning and Preparedness: An Introduction,futurelearn,beginner
/course/entrepreneurship-idea-to-action-19710,Entrepreneurship: From Business Idea to Action,futurelearn,beginner
/course/women-children-health-3817,"Improving the Health of Women, Children and Adolescents: from Evidence to Action",futurelearn,beginner
/course/introduction-to-applied-linguistics-10725,Introduction to Applied Linguistics and TESOL,futurelearn,beginner
/course/human-rights-and-international-criminal-law-17118,Human Rights and International Criminal Law: An Introduction,futurelearn,beginner
/course/consciousness-23316,Application of Digital Health Interventions,futurelearn,beginner
/course/recreational-math-10736,"An Introduction to Recreational Math: Fun, Games, and Puzzles",futurelearn,beginner
/course/digital-transformation-classroom-15185,Digital Transformation in the Classroom,futurelearn,beginner
/course/exercise-prescription-5665,Exercise Prescription for the Prevention and Treatment of Disease,futurelearn,beginner
/course/autism-8239,Understanding Autism,futurelearn,beginner
/course/process-mining-5419,Introduction to Process Mining with ProM,futurelearn,beginner
/course/occupational-health-developing-countries-5188,Occupational Health in Developing Countries,futurelearn,beginner
/course/korean-alphabet-hangeul-19060,The Korean Alphabet: An Introduction to Hangeul,futurelearn,beginner
/course/introducing-humanism-10179,"Introducing Humanism: Non-religious Approaches to Life, with Sandi Toksvig",futurelearn,beginner
/course/science-communication-for-researchers-15231,Science Communication and Public Engagement,futurelearn,beginner
/course/understanding-adhd-13328,Understanding ADHD: Current Research and Practice,futurelearn,beginner
/course/crime-to-punishment-8224,From Crime to Punishment: an Introduction to Criminal Justice,futurelearn,beginner
/course/introduction-sustainability-development-9408,Introduction to Sustainability and Development,futurelearn,beginner
/course/disaster-management-7128,Introduction to Humanitarian Aid,futurelearn,beginner
/course/right-to-education-5189,The Right to Education: Breaking Down the Barriers,futurelearn,beginner
/course/university-of-colorado-mini-medical-school-part-1-48095,Mini Medical School: Introduction to Medical Science,futurelearn,beginner
/course/circular-regions-116608,Spatial Circularity Strategies: Introduction,futurelearn,beginner
/course/learning-network-age-8266,Learning in the Network Age,futurelearn,beginner
/course/fundamentals-of-agile-66412,Fundamentals of Agile Project Management,futurelearn,beginner
/course/scaling-agile-66342,Scaled Agile,futurelearn,beginner
/course/agile-for-beginners-66344,Agile for Beginners,futurelearn,beginner
/course/inclusive-education-16951,Inclusive Education: Essential Knowledge for Success,futurelearn,beginner
/course/electrical-engineering-9066,"Electrical Engineering: Sensing, Powering and Controlling",futurelearn,beginner
/course/randomised-controlled-trials-48224,Introduction to Randomised Controlled Trials,futurelearn,beginner
/course/research-in-learning-communities-21245,Education Research that Matters: Doing Research in Your Learning Community,futurelearn,beginner
/course/depression-young-people-9270,Understanding Depression and Low Mood in Young People,futurelearn,beginner
/course/pathways-to-property-10402,Pathways to Property: Starting Your Career in Real Estate,futurelearn,beginner
/course/your-essential-guide-to-university-life-16985,Your Essential Guide to University Life,futurelearn,beginner
/course/guide-to-university-entry-16949,A Parent and Supporter’s Guide to University Entry,futurelearn,beginner
/course/agriculture-economic-nature-20138,"Agriculture, Economics and Nature",futurelearn,beginner
/course/vet-school-application-support-21120,Virtual Work Experience and Exploring the Veterinary Profession,futurelearn,beginner
/course/understanding-gender-inequality-15219,Understanding Gender Inequality,futurelearn,beginner
/course/invisible-worlds-13812,Invisible Worlds: Understanding the Natural Environment,futurelearn,beginner
/course/understanding-evolution-11807,Understanding and Teaching Evolution,futurelearn,beginner
/course/sustainable-business-7648,Business Futures: Sustainable Business Through Green HR,futurelearn,beginner
/course/bioinformatics-5661,Clinical Bioinformatics: Unlocking Genomics in Healthcare,futurelearn,beginner
/course/managing-covid-19-in-primary-care-19189,Managing COVID-19 in Primary Care,futurelearn,beginner
/course/accents-attitudes-and-identity-an-introduction-to-14416,"An Introduction to Sociolinguistics: Accents, Attitudes and Identity",futurelearn,beginner
/course/creating-the-amazing-engineering-the-future-14415,Engineering the Future: Creating the Amazing,futurelearn,beginner
/course/design-thinking-in-health-and-social-care-13769,Creative Problem Solving: Design Thinking in Health and Social Care,futurelearn,beginner
/course/entrepreneurship-in-nonprofits-12507,Entrepreneurship in Nonprofits,futurelearn,beginner
/course/speak-like-thai-people-24322,Let's Learn Thai Language,futurelearn,beginner
/course/criminology-and-crime-66516,Introduction to Criminology,futurelearn,beginner
/course/preparing-for-teaching-12540,Preparing for Teaching,futurelearn,beginner
/course/communicating-with-diverse-audiences2-17119,Communicating with Diverse Audiences,futurelearn,beginner
/course/workplace-safety-essentials-21833,Workplace Essentials: Health and Safety,futurelearn,beginner
/course/psychological-first-aid-covid-19-responders-afric-32697,COVID-19: Psychological First Aid in Africa,futurelearn,beginner
/course/digital-learning-toolkit-32696,Digital Learning Toolkit: Resources for Successful Online Teaching,futurelearn,beginner
/course/designing-future-where-learning-is-lifestyle-47305,Designing a Future Where Learning is a Lifestyle,futurelearn,beginner
/course/the-universal-declaration-of-human-rights-12607,Defending Dignity: The Universal Declaration of Human Rights,futurelearn,beginner
/course/digital-marketing-futurelearn-56514,Fundamentals of Digital Marketing,futurelearn,beginner
/course/working-health-literacy-21400,Working with Patients with Limited Health Literacy,futurelearn,beginner
/course/explore-how-farmers-produce-food-sustainably-14383,Explore How Farmers Produce Food Sustainably,futurelearn,beginner
/course/study-uk-education-advisors-8658,Study UK: A Guide for Education Agents,futurelearn,beginner
/course/essential-skills-for-your-career-development-17483,Essential Skills for Your Career Development,futurelearn,beginner
/course/film-distribution-10566,Film Distribution: Connecting Films with Audiences,futurelearn,beginner
/course/prepare-to-study-uk-11784,Study UK: Prepare to Study and Live in the UK,futurelearn,beginner
/course/image-analysis-10310,Image Analysis Methods for Biologists,futurelearn,beginner
/course/eliminating-trachoma-6136,Eliminating Trachoma,futurelearn,beginner
/course/the-genomics-era-3414,The Genomics Era: the Future of Genetics in Medicine,futurelearn,beginner
/course/intro-to-japanese-subculture-6811,An Introduction to Japanese Subcultures,futurelearn,beginner
/course/irish-language-9789,Irish 101:  An Introduction to Irish Language and Culture,futurelearn,beginner
/course/social-innovation-in-rural-areas-18994,Social Innovation in Rural Areas,futurelearn,beginner
/course/flexagons-10734,Flexagons and the Math Behind Twisted Paper,futurelearn,beginner
/course/video-game-character-design-9063,Video Game Design and Development: Video Game Character Design,futurelearn,beginner
/course/become-a-better-presenter-21849,Become a Better Presenter: Improve Your Public Speaking Skills,futurelearn,beginner
/course/general-introduction-to-metal-additive-manufactur-22102,Introduction to Metal Additive Manufacturing (AM) Technology,futurelearn,beginner
/course/object-oriented-principles-8884,Object-oriented Programming in Python: Create Your Own Adventure Game,futurelearn,beginner
/course/fall-in-love-with-mandarin-19181,Fall in Love with Mandarin,futurelearn,beginner
/course/forensic-archaeology-and-anthropology-15153,Forensic Archaeology and Anthropology,futurelearn,beginner
/course/human-factors-healthcare-10548,Human Factors in a Healthcare Environment,futurelearn,beginner
/course/personal-assistants-disability-support-9123,The Role of Personal Assistants in Disability Support,futurelearn,beginner
/course/clinical-supervision-assessment-feedback-9393,Clinical Supervision: Assessing and Providing Feedback,futurelearn,beginner
/course/managing-change-healthcare-9395,Managing Change in a Healthcare Environment,futurelearn,beginner
/course/clinical-supervision-professional-development-9090,Clinical Supervision: Planning Your Professional Development,futurelearn,beginner
/course/effective-questioning-9911,Effective Questioning for Call Handlers,futurelearn,beginner
/course/neurological-disorders-east-anglia-63073,Neurological Disorders: How to Provide Care,futurelearn,beginner
/course/emotional-intelligence-at-work-11656,Emotional Intelligence at Work,futurelearn,beginner
/course/foundations-of-project-management-13777,Foundations of Project Management,futurelearn,beginner
/course/introduction-to-international-human-resources-man-20381,International Human Resources Management: An Introduction,futurelearn,beginner
/course/cyber-security-landscape-13775,The Cyber Security Landscape,futurelearn,beginner
/course/teacher-training-pgce-21618,Teacher Training: Choosing the Right PGCE for You,futurelearn,beginner
/course/beginning-your-digital-marketing-journey-22101,Get Started With Digital Marketing,futurelearn,beginner
/course/ethical-hacking-an-introduction-13186,Ethical Hacking: An Introduction,futurelearn,beginner
/course/the-impacts-of-tourism-20380,The Impacts of Tourism,futurelearn,beginner
/course/humanitarian-action-response-relief-13204,"Humanitarian Action, Response and Relief",futurelearn,beginner
/course/intimate-partner-domestic-violence-22412,Identifying and Responding to Domestic Violence and Abuse (DVA) in Pregnancy,futurelearn,beginner
/course/ethical-leadership-and-decision-making-sc-96598,International Leadership: Ethical Leadership and Decision-Making,futurelearn,beginner
/course/managing-culture-as-leaders-sc-96597,International Leadership: Managing Culture as Leaders,futurelearn,beginner
/course/culture-in-international-marketing-sc-96602,International Marketing: Cultural Factors,futurelearn,beginner
/course/nursing-in-crisis-9676,Nursing in Crisis? Exploring Current Challenges,futurelearn,beginner
/course/competitor-analysis-sc-96593,Competitor Analysis: From Business Level Strategy to Organisational Structures,futurelearn,beginner
/course/strategic-choices-sc-96595,Strategic Planning: Target Markets and Business Decision-Making,futurelearn,beginner
/course/selecting-and-entering-global-markets-sc-96603,International Marketing: Selection and Market Entry Strategies,futurelearn,beginner
/course/digital-security-policy-and-management-sc-94644,Information Security Policy and Management,futurelearn,beginner
/course/system-testing-and-maintenance-sc-94915,System Security Testing and Maintenance,futurelearn,beginner
/course/internal-analysis-sc-96592,Internal Analysis of a Company: From Value Chain to SWOT Analysis,futurelearn,beginner
/course/system-analysis-and-design-sc-94913,Secure System Analysis and Design,futurelearn,beginner
/course/the-future-of-cyber-security-sc-94646,The Future of Cyber Security and Emerging Technologies,futurelearn,beginner
/course/reflective-practice-in-leadership-sc-96600,International Leadership: Reflective Practice in Leadership,futurelearn,beginner
/course/system-development-sc-94914,Security System and Application Development,futurelearn,beginner
/course/cryptography-and-digital-certificates-sc-94645,Cryptography and Digital Certificates,futurelearn,beginner
/course/the-evolution-of-management-and-leadership-theory-96596,International Leadership: The Evolution of Management and Leadership Theory,futurelearn,beginner
/course/international-marketing-sc-96601,International Marketing: Definition and Strategy,futurelearn,beginner
/course/the-cyber-security-landscape-sc-94643,The Cyber Security Landscape,futurelearn,beginner
/course/macro-environmental-analysis-and-business-strateg-96591,An Introduction to Macro Environmental Analysis and Business Strategy,futurelearn,beginner
/course/cyber-security-in-the-software-development-life-c-94912,How Cyber Security Affects the Software Development Life Cycle,futurelearn,beginner
/course/strategic-actions-sc-96594,Strategic Goals: How to Master Corporate Strategy,futurelearn,beginner
/course/politics-and-philosophy-in-leadership-sc-96599,International Leadership: Politics and Philosophy in Leadership,futurelearn,beginner
/course/learn-to-code-for-the-web-17489,Learn to Code for the Web,futurelearn,beginner
/course/leading-strategic-innovation-13327,Leading Strategic Innovation: How to Lead with Purpose,futurelearn,beginner
/course/global-standard-for-assessing-risks-to-ecosystems-19360,IUCN Red List of Ecosystems: The Global Standard for Assessing Risks to Ecosystems,futurelearn,beginner
/course/gender-and-development-8584,Gender and Development,futurelearn,beginner
/course/crisis-leadership-course-62881,Crisis Leadership,futurelearn,beginner
/course/research-matters-21836,Why Research Matters,futurelearn,beginner
/course/digitaldiscovery-45223,Digital Discovery,futurelearn,beginner
/course/suicide-prevention-13159,Understanding Suicide and Suicide Prevention Strategies in a Global Context,futurelearn,beginner
/course/mindfulness-focus-on-adolescents-22532,Mindfulness: A Focus on Adolescents,futurelearn,beginner
/course/working-supportively-with-refugees-10603,"Working Supportively With Refugees: Principles, Skills and Perspectives",futurelearn,beginner
/course/teaching-sustainability-climate-action-in-schools-114845,Introduction to Teaching Sustainability and Climate Action,futurelearn,beginner
/course/study-medicine-20874,Study Medicine: Applying for Medical School and Becoming a Medical Student,futurelearn,beginner
/course/research-impact-11875,Research Impact: Making a Difference,futurelearn,beginner
/course/united-for-a-sustainable-future-an-introduction-110640,Uniting for a Sustainable Future: An Introduction to Global Sustainability,futurelearn,beginner
/course/introduction-to-climate-justice-and-equity-116606,Introduction to Climate Justice and Equity,futurelearn,beginner
/course/health-technology-assessment-8834,Introduction to Health Technology Assessment,futurelearn,beginner
/course/be-a-dentist-54350,Becoming a Dentist,futurelearn,beginner
/course/teaching-data-science-19139,Getting Started with Teaching Data Science in Schools,futurelearn,beginner
/course/safeguarding-in-collaborative-international-resea-62137,"Safeguarding in Collaborative Research and International Development: Contexts, Challenges, and Opportunities",futurelearn,beginner
/course/communicating-climate-change-raising-engagement-f-102567,Communicating Climate Change for Effective Climate Action,futurelearn,beginner
/course/a-critical-introduction-to-circular-economies-and-102568,Tackling Climate Change: Sustainable Business Models for a Circular Economy,futurelearn,beginner
/course/so-you-want-to-study-life-science-7098,So You Want to Study Life Science?,futurelearn,beginner
/course/career-management-10551,Career Management for Early Career Academic Researchers,futurelearn,beginner
/course/makerspaces-for-learning-44700,Makerspaces for Creative Learning,futurelearn,beginner
/course/introduction-to-using-intravenous-anaesthesia-tiv-94897,Introduction to Using Total Intravenous Anaesthesia (TIVA),futurelearn,beginner
/course/improve-ielts-speaking-20146,Improve your IELTS Speaking score,futurelearn,beginner
/course/introduction-to-cultural-intelligence-98989,Introduction to Cultural Intelligence,futurelearn,beginner
/course/practical-ethics-screening-for-and-against-disabi-19214,An Introduction to Medical Ethics: The Impact of Disability Screening,futurelearn,beginner
/course/educational-leadership-working-for-good-14501,Educational Leadership: Working for Good,futurelearn,beginner
/course/work-power-politics-influence-21386,"Power, Politics, and Influence at Work",futurelearn,beginner
/course/mouth-care-matters-21739,Mouth Care Matters,futurelearn,beginner
/course/applied-big-data-analytics-12551,"Big Data Analytics: Opportunities, Challenges, and the Future",futurelearn,beginner
/course/plague-pestilence-pandemic-10553,"Plagues, Pestilence and Pandemics: Are You Ready?",futurelearn,beginner
/course/social-change-marketing-11849,Social Change: How Can Marketing Help?,futurelearn,beginner
/course/health-workforce-11783,Future-proofing the Health Workforce,futurelearn,beginner
/course/pte-success-21735,PTE Success: The Skills You Need,futurelearn,beginner
/course/neonatal-assessment-11980,Assessment of the Newborn,futurelearn,beginner
/course/maternity-care-9392,Maternity Care: Building Relationships Really Does Save Lives,futurelearn,beginner
/course/digital-skills-20767,Digital Skills: Embracing Digital Technology,futurelearn,beginner
/course/learn-french-global-communication-level-1-22677,Foundations of French for Global Communication,futurelearn,beginner
/course/principles-of-engineering-37681,Principles of Engineering,futurelearn,beginner
/course/learn-spanish-for-global-communication-level-1-22676,Foundations of Spanish for Global Communication,futurelearn,beginner
/course/foundations-of-portuguese-for-global-communicatio-45881,Foundations of Portuguese for Global Communication,futurelearn,beginner
