Link,Title,Platform,Duration
/course/critical-thinking-at-university-12273,Critical Thinking at University: An Introduction,futurelearn,5-10
/course/interviews-2253,How to Succeed at: Interviews,futurelearn,5-10
/course/domestic-violence-15221,Supporting Victims of Domestic Violence,futurelearn,5-10
/course/writing-applications-2248,How to Succeed at: Writing Applications,futurelearn,5-10
/course/improving-study-techniques-13420,Improving Your Study Techniques,futurelearn,5-10
/course/teaching-english-great-lesson-13115,Teaching English: How to Plan a Great Lesson,futurelearn,5-10
/course/workplace-english-6911,English for the Workplace,futurelearn,5-10
/course/musculoskeletal-6738,The Musculoskeletal System: The Science of Staying Active into Old Age,futurelearn,5-10
/course/teaching-young-learners-online-20139,Teaching Young Learners Online,futurelearn,5-10
/course/understanding-ielts-reading-17038,Understanding IELTS: Reading,futurelearn,5-10
/course/understanding-ielts-listening-17168,Understanding IELTS: Listening,futurelearn,5-10
/course/understanding-ielts-writing-17169,Understanding IELTS: Writing,futurelearn,5-10
/course/english-language-teaching-learning-6379,Learning and Learners,futurelearn,5-10
/course/english-language-teaching-classroom-6380,The Classroom and the World,futurelearn,5-10
/course/dutch-3014,Introduction to Dutch,futurelearn,5-10
/course/incarceration-prisons-suitable-punishment-17036,Incarceration: Are Prisons a Suitable Punishment?,futurelearn,5-10
/course/ideas-better-world-13689,Ideas for a Better World: Leading Change Through Policymaking,futurelearn,5-10
/course/transport-systems-global-issues-and-future-innova-12705,Transport Systems: Global Issues and Future Innovations,futurelearn,5-10
/course/robotic-future-6721,Building a Future with Robots,futurelearn,5-10
/course/research-ethics-an-introduction-12091,Introduction to Research Ethics: Working with People,futurelearn,5-10
/course/digital-learning-12213,Transforming Digital Learning: Learning Design Meets Service Design,futurelearn,5-10
/course/media-data-4925,Making Sense of Data in the Media,futurelearn,5-10
/course/human-disease-lifestyle-environment-9026,Causes of Human Disease: Nutrition and Environment,futurelearn,5-10
/course/frisian-6637,Introduction to Frisian,futurelearn,5-10
/course/valuing-health-3011,Measuring and Valuing Health,futurelearn,5-10
/course/managing-for-innovation-8057,Innovation Management: Winning in the Age of Disruption,futurelearn,5-10
/course/human-disease-transmitting-and-fighting-infection-9023,Causes of Human Disease: Transmitting and Fighting Infection,futurelearn,5-10
/course/human-disease-exploring-cancer-genetic-disease-9024,Causes of Human Disease: Exploring Cancer and Genetic Disease,futurelearn,5-10
/course/human-disease-understanding-cardiovascular-diseas-9025,Causes of Human Disease: Understanding Cardiovascular Disease,futurelearn,5-10
/course/preparing-to-learn-online-at-university-19179,Preparing to Learn Online at University,futurelearn,5-10
/course/climate-change-and-resilience-in-food-systems-33497,Climate Change and Resilience in Food Systems,futurelearn,5-10
/course/human-disease-understanding-causes-of-disease-9022,Causes of Human Disease: Understanding Causes of Disease,futurelearn,5-10
/course/clinical-supervision-teaching-facilitating-9394,Clinical Supervision: Teaching and Facilitating Learning,futurelearn,5-10
/course/protecting-health-data-10612,Protecting Health Data in the Modern Age: Getting to Grips with the GDPR,futurelearn,5-10
/course/what-is-health-research-16961,What is Health Research?,futurelearn,5-10
/course/ww1-trauma-2325,"World War 1: Trauma, Memory, Controversy",futurelearn,5-10
/course/teaching-migration-through-data-and-storytelling-21738,Teaching Migration Through Data and Storytelling,futurelearn,5-10
/course/edward-jenner-programme-course-0-an-introduction--66019,Edward Jenner: 0 - An Introduction to Personal Development,futurelearn,5-10
/course/nutrition-sensitive-agriculture-48252,A Nutritional Approach to Agriculture and Food Security,futurelearn,5-10
/course/global-food-safety-and-nutrition-47279,Food Safety and Nutrition: A Global Approach to Public Health,futurelearn,5-10
/course/food-and-mood-17020,Food and Mood: Improving Mental Health Through Diet and Nutrition,futurelearn,5-10
/course/business-ethics-18181,Business Ethics: Exploring Big Data and Tax Avoidance,futurelearn,5-10
/course/covid-19-critical-care-education-resource-19340,COVID-19 Critical Care: Understanding and Application,futurelearn,5-10
/course/global-education-for-teachers-21323,Global Education for Teachers,futurelearn,5-10
/course/planet-earth-66470,Planet Earth: Understanding and Protecting our Environment,futurelearn,5-10
/course/scientific-revolution-8964,The Scientific Revolution: Understanding the Roots of Modern Science,futurelearn,5-10
/course/building-web-applications-in-django-22361,Building Web Applications in Django,futurelearn,5-10
/course/anatomy-gastrointestinal-reproductive-and-endocri-22478,"Anatomy: Gastrointestinal, Reproductive, and Endocrine Systems",futurelearn,5-10
/course/beyond-the-sustainable-development-goals-58228,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,futurelearn,5-10
/course/database-design-and-basic-sql-in-postgresql-58793,Database Design and Basic SQL in PostgreSQL,futurelearn,5-10
/course/intermediate-postgresql-58796,Intermediate PostgreSQL,futurelearn,5-10
/course/json-and-natural-language-processing-in-postgresq-58794,JSON and Natural Language Processing in PostgreSQL,futurelearn,5-10
/course/database-architecture-scale-and-nosql-with-elasti-58795,"Database Architecture, Scale, and NoSQL with Elasticsearch",futurelearn,5-10
/course/ethics-in-engineering-stories-about-epic-engineer-57999,Ethics in Engineering: Stories About Epic Engineering Fails,futurelearn,5-10
/course/online-learning-3882,How to Learn Online: Getting Started,futurelearn,5-10
/course/renewable-energy-achieving-sustainability-through-56938,Renewable Energy: Achieving Sustainability through Bioenergy,futurelearn,5-10
/course/educational-media-sc-92233,Instructional Design: Educational Media,futurelearn,5-10
/course/facilitation-skills-sc-92234,Instructional Design: Facilitation Skills,futurelearn,5-10
/course/course-pedagogy-and-planning-sc-92231,Instructional Design: Course Planning and Pedagogy,futurelearn,5-10
/course/course-development-sc-92232,Instructional Design: Course Development,futurelearn,5-10
/course/population-10-billion-12649,Population 10 Billion: Researching Global Issues,futurelearn,5-10
/course/research-project-2138,Developing Your Research Project,futurelearn,5-10
/course/teach-online-19188,How To Teach Online: Moving online post-pandemic,futurelearn,5-10
/course/screenwriting-4550,An Introduction to Screenwriting,futurelearn,5-10
/course/interdisciplinary-learning-working-across-discipl-17248,Interdisciplinary Learning: Working Across Disciplines,futurelearn,5-10
/course/archaeology-6112,Archaeology: from Dig to Lab and Beyond ,futurelearn,5-10
/course/fundraising-arts-culture-10573,Effective Fundraising and Leadership in Arts and Culture,futurelearn,5-10
/course/leadership-in-arts-fundraising-66341,Leadership in Arts Fundraising,futurelearn,5-10
/course/infant-nutrition-7646,Infant Nutrition: from Breastfeeding to Baby's First Solids,futurelearn,5-10
/course/come-rain-or-shine-6118,Come Rain or Shine: Understanding the Weather,futurelearn,5-10
/course/fundamentals-of-project-planning-and-management-8581,Fundamentals of Project Planning and Management,futurelearn,5-10
/course/blended-learning-digitally-enriched-apprenticeshi-11102,Blended Learning Essentials: Digitally-Enriched Apprenticeships,futurelearn,5-10
/course/renewable-energy-sustainable-electricity-supply-w-114846,Renewable Energy: Sustainable Electricity Supply with Microgrids,futurelearn,5-10
/course/faces-of-dementia-5350,The Many Faces of Dementia,futurelearn,5-10
/course/liver-disease-2251,Liver Disease: Looking after Your Liver,futurelearn,5-10
/course/liver-transplant-4846,Liver Transplant: the Ins and Outs,futurelearn,5-10
/course/how-to-create-an-online-course-41077,How to Create an Online Course,futurelearn,5-10
/course/clinical-supervision-with-confidence-3161,Clinical Supervision with Confidence,futurelearn,5-10
/course/building-information-modelling-10604,An Introduction to Building Information Modelling,futurelearn,5-10
/course/japanese-rare-books-culture-6264,Japanese Culture Through Rare Books,futurelearn,5-10
/course/humanitarian-logistics-17366,Introduction to Humanitarian Logistics,futurelearn,5-10
/course/from-waste-to-value-20611,From Waste to Value: How to Tackle Food Waste,futurelearn,5-10
/course/food-production-agricultural-technology-plant-bio-14399,Improving Food Production with Agricultural Technology and Plant Biotechnology,futurelearn,5-10
/course/fairy-tales-13807,"Fairy Tales: Meanings, Messages, and Morals",futurelearn,5-10
/course/food-and-nutrition-20902,Food and Nutrition: The Truth Behind Food Headlines,futurelearn,5-10
/course/explore-english-magna-carta-4673,Magna Carta,futurelearn,5-10
/course/professional-resilience-9356,Professional Resilience: Building Skills to Thrive at Work,futurelearn,5-10
/course/healthy-ageing-40230,"Healthy Ageing: Concepts, Interventions, and Preparing for the Future",futurelearn,5-10
/course/introduction-to-microbiology-11850,Small and Mighty: Introduction to Microbiology,futurelearn,5-10
/course/teaching-climate-and-sustainability-in-primary-sc-65380,Teaching Climate and Sustainability in Primary Schools: An Outdoor Learning Approach,futurelearn,5-10
/course/peak-45939,Physiotherapy Exercise and Physical Activity for Knee Osteoarthritis (PEAK),futurelearn,5-10
/course/measuring-what-matters-98981,Measuring What Matters: Transforming Assessment and Recognition of Complex Learning Competencies,futurelearn,5-10
/course/listening-skills-to-succeed-at-university-102594,Listening Skills to Succeed at University,futurelearn,5-10
/course/cbt-older-people-9863,CBT with Older People,futurelearn,5-10
/course/social-entrepreneurship-in-educational-technology-60095,Social Entrepreneurship in Educational Technology: Developing a Business Plan,futurelearn,5-10
/course/social-entrepreneurship-in-educational-technology-60094,Social Entrepreneurship in Educational Technology: Concept Development and Prototyping,futurelearn,5-10
/course/social-entrepreneurship-in-educational-technology-60093,Social Entrepreneurship in Educational Technology: Ideation and Market Research,futurelearn,5-10
/course/understanding-systems-thinking-in-healthcare-20378,Understanding Systems Thinking in Healthcare,futurelearn,5-10
/course/emergency-planning-preparedness-10607,Emergency Planning and Preparedness: An Introduction,futurelearn,5-10
/course/tipping-points-climate-change-and-society-10580,Tipping Points: Climate Change and Society,futurelearn,5-10
/course/okinawa-diet-20292,Understanding Mediterranean and Okinawa Diets,futurelearn,5-10
/course/music-psychology-11847,"Music Psychology: Why Does ""Bohemian Rhapsody"" Feel so Good?",futurelearn,5-10
/course/managing-mental-health-and-stress-19334,Managing Mental Health and Stress,futurelearn,5-10
/course/guided-self-help-for-postnatal-depression-13450,Addressing Postnatal Depression as a Healthcare Professional,futurelearn,5-10
/course/consciousness-23316,Application of Digital Health Interventions,futurelearn,5-10
/course/recreational-math-10736,"An Introduction to Recreational Math: Fun, Games, and Puzzles",futurelearn,5-10
/course/exercise-prescription-5665,Exercise Prescription for the Prevention and Treatment of Disease,futurelearn,5-10
/course/korean-alphabet-hangeul-19060,The Korean Alphabet: An Introduction to Hangeul,futurelearn,5-10
/course/science-communication-for-researchers-15231,Science Communication and Public Engagement,futurelearn,5-10
/course/understanding-adhd-13328,Understanding ADHD: Current Research and Practice,futurelearn,5-10
/course/what-is-leadership-8587,What is Leadership?,futurelearn,5-10
/course/introduction-sustainability-development-9408,Introduction to Sustainability and Development,futurelearn,5-10
/course/older-people-7220,Caring for Older People: a Partnership Model,futurelearn,5-10
/course/competitive-advantage-8031,Competitive Advantage: Using Information to Build Business Success,futurelearn,5-10
/course/disaster-management-7128,Introduction to Humanitarian Aid,futurelearn,5-10
/course/university-of-colorado-mini-medical-school-part-1-48095,Mini Medical School: Introduction to Medical Science,futurelearn,5-10
/course/learning-network-age-8266,Learning in the Network Age,futurelearn,5-10
/course/course-pedagogy-and-planning-58693,Instructional Design: Course Planning and Pedagogy,futurelearn,5-10
/course/course-development-58694,Instructional Design: Course Development,futurelearn,5-10
/course/educational-media-58695,Instructional Design: Educational Media,futurelearn,5-10
/course/facilitation-skills-58696,Instructional Design: Facilitation Skills,futurelearn,5-10
/course/electrical-engineering-9066,"Electrical Engineering: Sensing, Powering and Controlling",futurelearn,5-10
/course/transforming-citizen-participation-59402,Transforming Citizen Participation,futurelearn,5-10
/course/pathways-to-property-10402,Pathways to Property: Starting Your Career in Real Estate,futurelearn,5-10
/course/anarchy-in-the-uk-43550,Anarchy in the UK: A History of Punk from 1976-78,futurelearn,5-10
/course/climate-intelligence-using-climate-data-to-improv-94504,Climate Intelligence: Using Climate Data to Improve Business Decision-Making,futurelearn,5-10
/course/your-essential-guide-to-university-life-16985,Your Essential Guide to University Life,futurelearn,5-10
/course/guide-to-university-entry-16949,A Parent and Supporter’s Guide to University Entry,futurelearn,5-10
/course/supporting-adolescent-learners-11751,Supporting Adolescent Learners: Social and Emotional Wellbeing,futurelearn,5-10
/course/shakespeare-6472,Shakespeare: Print and Performance,futurelearn,5-10
/course/global-prosperity-9554,Global Prosperity Beyond GDP,futurelearn,5-10
/course/vet-school-application-support-21120,Virtual Work Experience and Exploring the Veterinary Profession,futurelearn,5-10
