Link,Title,Platform,Duration
/course/behavioralecon-424,A Beginner's Guide to Irrational Behavior,coursera,5-10
/course/data-science-crash-course-4392,A Crash Course in Data Science,coursera,5-10
/course/covid-19-training-healthcare-20907,COVID-19 Training for Healthcare Workers,coursera,5-10
/course/build-data-science-team-4391,Building a Data Science Team,coursera,5-10
/course/real-life-data-science-4389,Data Science in Real Life,coursera,5-10
/course/formation-covid-19-pour-personnels-de-sante-58310,Formation COVID-19 pour personnels de santé,coursera,5-10
/course/managing-data-analysis-4388,Managing Data Analysis,coursera,5-10
/course/covid-19-contact-tracing-19669,COVID-19 Contact Tracing,coursera,5-10
/course/black-agricultural-solutions-64533,Black Agricultural Solutions to Food Apartheid: A Teach-Out,coursera,5-10
/course/statistics-1349,Data Analysis and Statistical Inference ,coursera,5-10
/course/covid-19-capacitacion-trabajadores-de-la-salud-23194,Capacitación sobre COVID-19 para trabajadores de salud,coursera,5-10
/course/uva-darden-customer-centric-it-strategy-10429,Customer-Centric IT Strategy,coursera,5-10
/course/covid-19-training-healthcare-portuguese-br-55980,Formação sobre a COVID-19 para Profissionais de Saúde,coursera,5-10
/course/covid-19-training-healthcare-hindi-48172,स्वास्थ्य कर्मचारियों के लिए कोविड-19 ट्रेनिंग,coursera,5-10
/course/machine-learning-overview-71019,Machine Learning: an overview,coursera,5-10
/course/procurement-sourcing-introduction-19659,Procurement & Sourcing Introduction,coursera,5-10
/course/python-project-for-data-science-33503,Python Project for Data Science,coursera,5-10
/course/managing-google-workspace-37089,Managing Google Workspace,coursera,5-10
/course/preparing-data-sas-va-17977,Getting Started with SAS Visual Analytics ,coursera,5-10
/course/onprem-fundamentals-apigee-gcp-10746,On Premises Installation and Fundamentals with Google Cloud's Apigee API Platform,coursera,5-10
/course/using-data-geographic-mapping-sas-va-17975,Using Data for Geographic Mapping and Forecasting in SAS Visual Analytics,coursera,5-10
/course/deploying-sap-google-cloud-22867,Deploying SAP on Google Cloud,coursera,5-10
/course/contact-center-ai-conversational-design-fundament-22435,Contact Center AI: Conversational Design Fundamentals,coursera,5-10
/course/devops-aws-code-build-test-57267,"DevOps on AWS: Code, Build, and Test",coursera,5-10
/course/aruba-network-security-basics-39426,Aruba Network Security Basics,coursera,5-10
/course/onprem-upgrade-apigee-gcp-10755,On Premises Capacity Upgrade and Monitoring with Google Cloud's Apigee API Platform,coursera,5-10
/course/business-implications-ai-nano-course-17046,Business Implications of AI: A Nano-course,coursera,5-10
/course/devops-aws-operate-monitor-57269,DevOps on AWS: Operate and Monitor,coursera,5-10
/course/devops-aws-release-deploy-57271,DevOps on AWS: Release and Deploy,coursera,5-10
/course/capstone-project-random-person-generator-using-td-32110,Test-Driven Development Project: Random Person Generator,coursera,5-10
/course/establishing-command-and-control-and-finding-cred-58197,Establishing Command-and-Control and Finding Credentials,coursera,5-10
/course/javascript-security-part-3-53081,JavaScript Security Part 3,coursera,5-10
/course/aruba-network-automation-basics-93362,Aruba Network Automation Basics ,coursera,5-10
/course/preparing-for-and-passing-technical-certification-22485,Preparing for and Passing Technical Certifications,coursera,5-10
/course/fundamentals-installation-of-apigee-hybrid-api-pl-22860,Architecting and Installing the Apigee Hybrid API Platform,coursera,5-10
/course/javascript-security-refreshers-53079,JavaScript Security Refreshers,coursera,5-10
/course/ibm-data-topology-19364,IBM Data Topology,coursera,5-10
/course/check-point-jump-start-cloudguard-posture-managem-43852,Check Point Jump Start: CloudGuard Posture Management,coursera,5-10
/course/juniper-security-concepts-and-configuration-92620,Juniper Networks Security Concepts and Initial Configuration,coursera,5-10
/course/management-and-security-of-apigee-hybrid-api-plat-22858,Managing and Securing the Apigee Hybrid API Platform,coursera,5-10
/course/sap-customer-engagement-and-discovery-119201,SAP Customer Engagement and Discovery,coursera,5-10
/course/upgrading-monitoring-and-troubleshooting-apigee-h-22859,Upgrading and Monitoring the Apigee Hybrid API Platform,coursera,5-10
/course/juniper-srx-ipsec-and-troubleshooting-92622,"Security Platforms, IPsec, and Troubleshooting",coursera,5-10
/course/aruba-cx-switching-for-cisco-professionals-35053,Aruba CX Switching for Cisco Professionals,coursera,5-10
/course/aruba-sd-wan-basics-106121,Aruba SD WAN Basics,coursera,5-10
/course/linux-on-linuxone-110655,Linux on LinuxONE,coursera,5-10
/course/juniper-security-features-and-atp-92619,Security Features and Advanced Threat Prevention ,coursera,5-10
/course/cloud-based-network-design-and-management-35051,Cloud-Based Network Design & Management Techniques,coursera,5-10
/course/understanding-tiktok-and-its-users-119224,Understanding TikTok and Its Users,coursera,5-10
/course/advertising-and-ecommerce-on-tiktok-119226,Advertising and E-commerce on TikTok,coursera,5-10
/course/marketing-on-tiktok-119225,Marketing on TikTok,coursera,5-10
/course/check-point-jump-start-quantum-management-114644,Check Point Jump Start: Quantum Management,coursera,5-10
/course/covid19-epidemiology-19250,Fighting COVID-19 with Epidemiology: A Johns Hopkins Teach-Out,coursera,5-10
/course/introduction-to-software-product-managem-4196,Introduction to Software Product Management,coursera,5-10
/course/game-developers-esports-organizations-13112,Game Developers and Esports Organizations,coursera,5-10
/course/leading-teams-project-5112,Leading People and Teams Capstone,coursera,5-10
/course/healthcare-it-support-staff-22562,The Critical Role of IT Support Staff in Healthcare,coursera,5-10
/course/erpo-22041,ERPO: A Civil Approach to Gun Violence Prevention Teach-Out,coursera,5-10
/course/responsible-reporting-on-suicide-for-journalists-90265,Responsible Reporting on Suicide for Journalists,coursera,5-10
/course/college-esports-career-planning-13113,Collegiate Esports and Career Planning,coursera,5-10
/course/esports-management-capstone-project-13111,Esports Management Capstone Project,coursera,5-10
/course/salesforce-capstone-organization-integration-23172,Salesforce Capstone: Organization Integration,coursera,5-10
/course/manage-stress-police-21650,Understanding and Managing the Stresses of Police Work,coursera,5-10
/course/uva-darden-innovation-business-model-can-10140,Innovating with the Business Model Canvas,coursera,5-10
/course/climate-change-and-human-rights-104326,Climate Change and Human Rights,coursera,5-10
