Link,Title,Platform,Duration
/course/introduction-data-analysis-microsoft-excel-56218,Introduction to Data Analysis using Microsoft Excel,coursera,1-5
/course/stock-valuation-comparable-companies-analysis-21589,Stock Valuation with Comparable Companies Analysis,coursera,1-5
/course/discounted-cash-flow-modeling-20061,Discounted Cash Flow Modeling,coursera,1-5
/course/covid19-data-analysis-using-python-20101,COVID19 Data Analysis Using Python,coursera,1-5
/course/business-analysis-using-spreadsheets-21519,Introduction to Business Analysis Using Spreadsheets: Basics,coursera,1-5
/course/using-canva-create-social-media-marketing-design-19329,Use Canva to Create Social Media Marketing Designs,coursera,1-5
/course/increase-seo-traffic-with-wordpress-20109,Increase SEO Traffic with WordPress,coursera,1-5
/course/intro-to-google-docs-19530,Introduction to Google Docs,coursera,1-5
/course/create-a-profile-and-network-on-linkedin-21224,Create a Profile and Network on LinkedIn,coursera,1-5
/course/create-business-marketing-brand-kit-using-canva-19619,Create a Business Marketing Brand Kit Using Canva,coursera,1-5
/course/create-informative-presentations-google-slides-19336,Create Informative Presentations with Google Slides,coursera,1-5
/course/linear-regression-numpy-python-19106,Linear Regression with NumPy and Python,coursera,1-5
/course/build-a-mobile-app-with-google-sheets-on-glide-an-21361,Build a mobile app with Google Sheets on Glide and no coding,coursera,1-5
/course/data-science-streamlit-python-19526,Build a Data Science Web App with Streamlit and Python,coursera,1-5
/course/create-a-google-ads-search-campaign-21372,Create a Google Ads Search Campaign,coursera,1-5
/course/modern-javascript-es6-basics-19778,Modern JavaScript: ES6 Basics,coursera,1-5
/course/visualizing-citibike-trips-tableau-18161,Visualizing Citibike Trips with Tableau,coursera,1-5
/course/beginning-sql-server-19525,Beginning SQL Server,coursera,1-5
/course/build-app-android-studio-java-19353,Build a Simple App in Android Studio with Java,coursera,1-5
/course/organic-marketing-facebook-groups-for-small-busin-32674,Organic Marketing: Facebook Groups For Small Businesses,coursera,1-5
/course/chatbot-rasa-python-19578,Create Your First Chatbot with Rasa and Python,coursera,1-5
/course/prepare-clean-transform-and-load-data-using-power-64390,"Prepare, Clean, Transform, and Load Data using Power BI",coursera,1-5
/course/project-management-creating-the-wbs-21313,Project Management: Creating the WBS,coursera,1-5
/course/build-a-professional-resume-using-canva-22850,Build a Professional Resume using Canva,coursera,1-5
/course/get-started-adobe-illustrator-64530,Get Started with Adobe Illustrator,coursera,1-5
/course/build-first-react-website-20395,Build Your First React Website,coursera,1-5
/course/e-commerce-dashboard-figma-19265,Build an E-commerce Dashboard with Figma,coursera,1-5
/course/compose-program-music-in-python-using-earsketch-19532,Compose and Program Music in Python using Earsketch,coursera,1-5
/course/creating-a-cpp-calculator-20028,Project: Creating Your First C++ Application,coursera,1-5
/course/computer-vision-opencv-for-images-19107,Computer Vision - Image Basics with OpenCV and Python,coursera,1-5
/course/create-your-ecommerce-store-with-shopify-27228,Create your e-commerce store with Shopify,coursera,1-5
/course/create-survey-analyze-results-with-surveymonkey-20745,Use SurveyMonkey to Create a Survey and Analyze Results,coursera,1-5
/course/brand-marketing-seo-tools-using-wix-20746,Brand Marketing and SEO Tools using Wix,coursera,1-5
/course/intermediate-rdb-sql-20024,Intermediate Relational Database and SQL,coursera,1-5
/course/sentiment-analysis-bert-19588,Sentiment Analysis with Deep Learning using BERT,coursera,1-5
/course/python-game-19784,Create Your First Game with Python,coursera,1-5
/course/strategically-build-and-engage-your-network-on-li-21270, Strategically Build and Engage Your Network on LinkedIn ,coursera,1-5
/course/logistic-regression-numpy-python-19241,Logistic Regression with NumPy and Python,coursera,1-5
/course/fine-tune-bert-tensorflow-21598,Fine Tune BERT for Text Classification with TensorFlow,coursera,1-5
/course/covid-19-detection-x-ray-20983,Detecting COVID-19 with Chest X-Ray using PyTorch,coursera,1-5
/course/clustering-geolocation-data-intelligently-python-19324,Clustering Geolocation Data Intelligently in Python,coursera,1-5
/course/canva-create-an-interactive-mind-map-20032,Use Canva to Create an Interactive Mind Map,coursera,1-5
/course/building-a-java-application-banking-19343,Building a Text-Based Bank in Java,coursera,1-5
/course/digital-media-with-graphic-design-19518,Building Digital Media using Graphic Design in Google Slides,coursera,1-5
/course/create-a-budget-with-google-sheets-20948, Create a Budget with Google Sheets,coursera,1-5
/course/twitter-sentiment-analysis-20742,NLP: Twitter Sentiment Analysis,coursera,1-5
/course/introduction-to-docker-build-portfolio-site-20895,Introduction to Docker: Build Your Own Portfolio Site,coursera,1-5
/course/building-custom-regional-reports-with-google-anal-19581,Building Custom Regional Reports with Google Analytics,coursera,1-5
/course/improve-business-performance-with-google-forms-19351,Improve Business Performance with Google Forms,coursera,1-5
/course/creating-budget-microsoft-excel-57262,Creating a Budget with Microsoft Excel,coursera,1-5
/course/data-augmentation-keras-19286,Image Data Augmentation with Keras,coursera,1-5
/course/git-for-developers-using-github-20390,Git for Developers Using Github,coursera,1-5
/course/principal-component-analysis-numpy-19239,Principal Component Analysis with NumPy,coursera,1-5
/course/image-super-resolution-autoencoders-keras-19325,Image Super Resolution Using Autoencoders in Keras,coursera,1-5
/course/build-deploy-ai-messenger-chatbot-ibm-watson-39465,Build & Deploy AI Messenger Chatbot using IBM Watson,coursera,1-5
/course/create-customer-support-data-with-google-sheets-19285,Create Customer Support Data with Google Sheets,coursera,1-5
/course/cicd-using-jenkins-22455,Jenkins : Automating your delivery pipeline,coursera,1-5
/course/how-to-design-facebookig-stories-using-canva-43841,How to design Facebook/IG Stories using Canva,coursera,1-5
/course/employee-turnover-scikit-learn-19105,Predict Employee Turnover with scikit-learn,coursera,1-5
/course/scikit-learn-k-means-clustering-image-compression-18159,Image Compression with K-Means Clustering ,coursera,1-5
/course/support-vector-machines-scikit-learn-19237,Support Vector Machines with scikit-learn,coursera,1-5
/course/portfolio-diversification-correlation-matrix-20125,Portfolio Diversification using Correlation Matrix,coursera,1-5
/course/linear-regression-predicting-salaries-19236,Predicting Salaries with Simple Linear Regression in R,coursera,1-5
/course/introduction-to-dplyr-17063,Build Data Analysis tools using R and DPLYR,coursera,1-5
/course/command-line-basics-linux-44682,Command Line Basics in Linux,coursera,1-5
/course/data-visualization-plotly-express-18951,Data Visualization with Plotly Express,coursera,1-5
/course/basic-sentiment-analysis-tensorflow-18160,Basic Sentiment Analysis with TensorFlow,coursera,1-5
/course/facial-key-point-detection-20391,Emotion AI: Facial Key-points Detection,coursera,1-5
/course/docker-fundamentals-21584,Introduction to Docker : The Basics,coursera,1-5
/course/deepfakes-keras-19258,Understanding Deepfakes with Keras,coursera,1-5
/course/business-operations-support-in-google-sheets-19290,Business Operations Support in Google Sheets,coursera,1-5
/course/how-to-create-a-jira-scrum-project-58911,How to create a Jira SCRUM project,coursera,1-5
/course/game-theory-with-python-20962,Game Theory with Python,coursera,1-5
/course/youtube-small-business-marketing-23251,Small Business Marketing Using YouTube,coursera,1-5
/course/autoencoders-image-denoising-19321,Image Denoising Using AutoEncoders in Keras and Python ,coursera,1-5
/course/car-transport-app-figma-22143,Car Transport App in Figma,coursera,1-5
/course/analyze-visitors-google-analytics-segments-20946,Analyze Website Visitors with Google Analytics Segments,coursera,1-5
/course/intro-time-series-analysis-in-r-19326,Intro to Time Series Analysis in R,coursera,1-5
/course/sagemaker-tensorflow-19287,Using TensorFlow with Amazon Sagemaker,coursera,1-5
/course/named-entity-recognition-lstm-keras-tensorflow-19291,Named Entity Recognition using LSTMs with Keras,coursera,1-5
/course/programming-in-c-20392,Programming in C#: A comprehensive approach to C# Fundamentals,coursera,1-5
/course/language-classification-19257,Language Classification with Naive Bayes in Python,coursera,1-5
/course/create-storyboard-canva-32706,Create a Storyboard using Canva,coursera,1-5
/course/machine-learning-university-admission-19611,University Admission Prediction Using Multiple Linear Regression,coursera,1-5
/course/start-your-api-testing-journey-with-postman-tool-25371,Start Your API Testing Journey With Postman Tool,coursera,1-5
/course/support-vector-machine-classification-python-19602,Support Vector Machine Classification in Python,coursera,1-5
/course/deep-learning-fundamentals-logistic-regression-18956,Logistic Regression with Python and Numpy,coursera,1-5
/course/azure-create-a-virtual-machine-and-deploy-a-web-s-39458,Azure: Create a Virtual Machine and Deploy a Web Server,coursera,1-5
/course/employee-management-with-when-i-work-19366,Create Employee Management System with When I Work,coursera,1-5
/course/build-product-roadmap-aha-22475,Build a Product Roadmap with Aha!,coursera,1-5
/course/virtual-classroom-google-slides-21231,Create a Virtual Classroom using Google Slides,coursera,1-5
/course/become-a-js-pro-7-skills-20898,Become a JavaScript Pro with these 7 Skills,coursera,1-5
/course/how-use-lookup-reference-math-text-functions-exce-58299,How to Use Lookup Reference Math and Text Functions in Excel,coursera,1-5
/course/tables-and-forms-in-html-20393,Tables and Forms in HTML,coursera,1-5
/course/convolution-text-classification-keras-20396,Convolutions for Text Classification with Keras,coursera,1-5
/course/how-to-use-roadmaps-in-jira-57578,How to use roadmaps in Jira,coursera,1-5
/course/seeking-investment-alpha-20751,Seeking Investment Alpha,coursera,1-5
/course/simple-recurrent-neural-network-keras-18953,Simple Recurrent Neural Network with Keras,coursera,1-5
/course/azure-sql-pool-polybase-32755,Azure Synapse SQL Pool - Implement Polybase,coursera,1-5
/course/create-python-application-mysql-20828,Create a Python Application using MySQL ,coursera,1-5
/course/create-infographic-canva-25531,Create an Infographic in Canva,coursera,1-5
/course/working-with-bigquery-52919,Working with BigQuery,coursera,1-5
/course/automating-team-commmunication-with-google-sheets-20094,Automating Team Communication with Google Sheets and Apps Script,coursera,1-5
/course/buildingacalculatorinvisualstudio-19613,Building a Calculator using C# in Visual Studio,coursera,1-5
/course/introduction-to-java-programming-java-fundamental-21202,Introduction to Java Programming: Java Fundamental Concepts,coursera,1-5
/course/querying-databases-using-sql-select-statement-20980,Querying Databases Using SQL SELECT statement,coursera,1-5
