Link,Title,Platform,Duration
/course/learn-like-a-pro-science-based-tools-to-become-be-40292,Learn Like a Pro: Science-Based Tools to Become Better at Anything,edx,1-5
/course/edx-sheep-in-the-land-of-fire-and-ice-13245,Sheep in the Land of Fire and Ice,edx,1-5
/course/edx-mechanical-ventilation-for-covid-19-19347,Mechanical Ventilation for COVID-19,edx,1-5
/course/edx-thinking-critically-interpreting-randomized-clinical-trials-5703,Thinking Critically: Interpreting Randomized Clinical Trials,edx,1-5
/course/edx-predictionx-omens-oracles-prophecies-8717,"PredictionX: Omens, Oracles & Prophecies",edx,1-5
/course/edx-predictionx-lost-without-longitude-11693,PredictionX: Lost Without Longitude,edx,1-5
/course/edx-introduction-to-american-civics-presented-by-zero-l-20365,Introduction to American Civics: Presented by Zero-L,edx,1-5
/course/edx-type-2-diabetes-management-19116,Type 2 Diabetes Management,edx,1-5
/course/edx-health-across-the-gender-spectrum-19163,Health Across the Gender Spectrum,edx,1-5
/course/edx-prescription-drug-misuse-and-addiction-compassionate-care-for-a-complex-problem-5144,Prescription Drug Misuse and Addiction: Compassionate Care for a Complex Problem,edx,1-5
/course/edx-an-evidence-based-approach-to-the-diagnosis-and-management-of-migraines-in-adults-in-the-primary-care-and-general-neurology-setting-19117,An Evidence-Based Approach to the Diagnosis and Management of Migraines in Adults in the Primary Care and General Neurology Setting,edx,1-5
/course/edx-hypertension-in-primary-care-improving-control-and-reducing-risk-19118,Hypertension in Primary Care – Improving Control and Reducing Risk,edx,1-5
/course/edx-thinking-critically-series-interpreting-screening-trials-19121,Thinking Critically Series: Interpreting Screening Trials,edx,1-5
/course/edx-congenital-hypothyroidism-what-every-primary-care-provider-needs-to-know-5698,Congenital Hypothyroidism: What Every Primary Care Provider Needs to Know,edx,1-5
/course/edx-identifying-early-signs-of-psychosis-in-adolescents-and-young-adults-19208,Identifying Early Signs of Psychosis in Adolescents and Young Adults,edx,1-5
/course/edx-safetyquest-level-one-qi-basics-19210,SafetyQuest: Level One - QI Basics,edx,1-5
/course/edx-to-prescribe-or-not-to-prescribe-antibiotics-and-outpatient-infections-19313,To Prescribe or Not To Prescribe? Antibiotics and Outpatient Infections,edx,1-5
/course/edx-managing-atrial-fibrillation-19315,Managing Atrial Fibrillation,edx,1-5
/course/edx-musculoskeletal-primer-for-the-non-orthopedist-19316,Musculoskeletal Primer for the Non-Orthopedist,edx,1-5
/course/edx-csi-me-case-studies-in-medical-errors-19130,CSI: ME Case Studies in Medical Errors,edx,1-5
/course/edx-optimizing-antimicrobial-therapy-with-timeouts-19314,Optimizing Antimicrobial Therapy with Timeouts,edx,1-5
/course/edx-identifying-and-responding-to-developmental-delay-in-young-children-19162,Identifying and Responding to Developmental Delay in Young Children,edx,1-5
/course/edx-know-hbv-and-hcv-19173,Know HBV And HCV,edx,1-5
/course/edx-how-to-taper-patients-off-of-chronic-opioid-therapy-19135,How To Taper Patients Off Of Chronic Opioid Therapy,edx,1-5
/course/edx-neuromuscular-monitoring-course-19160,Neuromuscular Monitoring Course,edx,1-5
/course/communicating-about-academic-probation-a-toolkit--48103,How You Say It Matters: A Toolkit for Improving Communications About Academic Standing,edx,1-5
/course/edx-safetyquest-level-two-moving-beyond-qi-basics-19213,SafetyQuest: Level Two - Moving Beyond QI Basics,edx,1-5
/course/edx-safetyquest-level-three-implementing-qi-19212,SafetyQuest: Level Three - Implementing QI,edx,1-5
/course/edx-dementia-and-diversity-in-primary-care-african-american-populations-19131,Dementia and Diversity in Primary Care: African American Populations,edx,1-5
/course/edx-dementia-and-diversity-in-primary-care-south-asian-american-populations-19134,Dementia and Diversity in Primary Care: South Asian American Populations,edx,1-5
/course/edx-capstone-exam-materials-for-electronic-optical-and-magnetic-devices-16966,"Capstone Exam – Materials for Electronic, Optical, and Magnetic Devices",edx,1-5
/course/edx-democratic-to-authoritarian-rule-8259,Democratic to Authoritarian Rule,edx,1-5
/course/edx-fake-news-facts-and-alternative-facts-8260,"Fake News, Facts, and Alternative Facts",edx,1-5
/course/edx-introduction-to-bootstrap-a-tutorial-3338,Introduction to Bootstrap - A Tutorial,edx,1-5
/course/edx-stand-up-for-science-practical-approaches-to-discussing-science-that-matters-8262,Stand up for Science: Practical Approaches to Discussing Science that Matters,edx,1-5
/course/edx-the-future-of-obamacare-repeal-repair-or-replace-8261,"The Future of Obamacare: Repeal, Repair, or Replace?",edx,1-5
/course/edx-communication-skills-for-dialoguing-across-difference-7831,Communication Skills for Dialoguing Across Difference,edx,1-5
/course/respiracion-mecanica-para-covid-19-22806,Ventilación mecánica para pacientes con COVID-19,edx,1-5
/course/edx-ap-psychology-course-0-introduction-9252,AP® Psychology - Course 0: Introduction,edx,1-5
